Question,Date of public,Followers,Number of answers,Correct answer
"Как учить реакт, если вообще никак не идет?",2017-03-25,9,4,False
Насколько легальны переводы статей на Хабре?,2017-03-25,9,3,False
"Кто напомнит ресурс, который помогает строить предложения на английском?",2017-03-19,46,4,True
Какой необходимый уровень знаний для junior React.js Разработчика?,2017-03-20,33,3,True
Является ли это нарушением авторских прав?,2017-03-25,6,5,False
Debian слежка за пользователем?,2017-03-23,13,4,False
Какую литературу почитать по проектированию?,2017-03-15,54,5,True
"Какие есть бесплатные курсы по серверам, линуксу, системному администрированию и т.п.?",2017-03-19,30,8,False
Где найти практику по javascript?,2017-03-26,5,3,False
"Кто за то, чтобы добавить шкалу сложности к новому, только что созданному вопросу?",2017-03-25,4,4,False
Как найти ментора (наставника) Front-end?,2017-03-25,5,2,True
Как описать Schema в mongoDB?,2017-03-25,5,1,False
Где ошибка при обучении нейросети для различия изображений?,2017-03-25,5,1,True
"Есть ли какие-то сервисы, которые могут повести бесплатный SEO анализ сайта?",2017-03-19,29,14,False
Легально ли это?,2017-03-24,8,2,True
Как вывести деньги на карточку Cбербанка?,2017-03-25,4,2,False
"Как создать 1000 документов .html или .txt, по правилу, с одной переменной?",2017-03-25,4,7,False
"Дизайн интерфейсов, портфолио, фриланс, и как дальше быть?",2017-03-24,7,11,False
Определить какой скрипт работает при клике на элемент(форма)?,2017-03-23,8,4,False
Что изучать верстальщику и в каком порядке?,2017-03-22,13,9,True
